playerID,HOF,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,ERA,AllStar,MVP,CyYoung,WorldSeriesMVP,GoldGlove
kooncca01,0,47,49,334,90,9,3,24,2914.0,972,408,85,368,504,57.0,20.0,25.0,4,4157.0,106.0,464,,,3.7803706245710362,0.0,0.0,0.0,0.0,0.0
koosmje01,0,222,209,612,527,140,33,17,11518.0,3635,1433,290,1198,2556,121.0,89.0,71.0,29,15996.0,43.0,1608,,,3.3591769404410488,2.0,0.0,0.0,0.0,0.0
kopliho01,0,9,7,54,19,2,0,1,526.0,187,82,19,80,87,7.0,7.0,3.0,1,771.0,8.0,90,,,4.2091254752851714,0.0,0.0,0.0,0.0,0.0
koplomi01,0,15,7,222,0,0,0,2,764.0,231,108,19,103,175,19.0,8.0,19.0,1,1085.0,60.0,120,17.0,7.0,3.816753926701571,0.0,0.0,0.0,0.0,0.0
kosloda01,0,92,107,348,189,74,15,22,4774.0,1597,651,121,538,606,0.0,21.0,20.0,1,6803.0,93.0,740,,,3.6818181818181817,0.0,0.0,,,
koufasa01,1,165,87,397,314,137,40,9,6973.0,1754,713,204,817,2396,48.0,87.0,18.0,7,9497.0,44.0,806,,,2.7607916248386632,7.0,1.0,3.0,2.0,0.0
koupalo01,0,10,21,101,35,12,0,7,1006.0,436,208,23,156,87,,11.0,5.0,0,1560.0,40.0,255,,,5.582504970178927,,0.0,,,
kowalfa01,0,3,11,51,12,4,0,2,502.0,218,101,10,63,42,,6.0,3.0,0,778.0,23.0,119,,,5.432270916334661,,0.0,,,
krakajo01,0,26,36,149,63,22,1,4,1751.0,605,294,30,355,347,,19.0,4.0,1,2654.0,54.0,349,,,4.5334094802969735,0.0,0.0,,,
kralija01,0,67,65,235,169,45,12,1,3654.0,1238,482,124,318,668,28.0,13.0,23.0,1,5121.0,17.0,541,,,3.561576354679803,1.0,0.0,0.0,0.0,0.0
krameja01,0,95,103,322,215,88,14,7,4912.0,1761,772,92,682,613,,35.0,10.0,6,7193.0,59.0,895,,,4.243485342019544,3.0,0.0,,,
kramera01,0,6,15,66,24,1,1,2,551.0,179,92,19,90,92,10.0,2.0,12.0,0,815.0,14.0,98,,,4.508166969147005,0.0,0.0,0.0,0.0,0.0
krappge01,0,40,47,118,92,50,3,1,2293.0,631,274,11,418,353,,36.0,32.0,3,3204.0,21.0,339,,,3.226341037941561,,,,,
krausha01,0,36,26,85,57,39,10,2,1576.0,446,146,8,146,298,,6.0,34.0,1,2038.0,15.0,180,,,2.501269035532995,,,,,
krausja01,0,15,25,70,39,10,1,2,919.0,318,136,14,133,83,,9.0,5.0,0,1354.0,17.0,155,,,3.995647442872688,0.0,0.0,,,
krausle02,0,68,91,321,167,21,5,21,3851.0,1205,571,137,493,721,62.0,29.0,35.0,1,5490.0,71.0,635,,,4.003375746559335,0.0,0.0,0.0,0.0,0.0
kraveke01,0,43,56,160,128,24,6,1,2576.0,814,426,78,404,557,15.0,25.0,40.0,6,3770.0,6.0,476,,,4.465062111801243,0.0,0.0,0.0,0.0,0.0
