playerID,HOF,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,ERA,Name,Mitchell-Report,Positive-Test
roberda08,0,31,24,462,0,0,0,81,1370,358,147,37,179,610,20,31,10,4,1886,180,156,10,7,2.897080292,David Robertson,0,0
robergr01,0,4,4,76,1,0,0,1,305,106,48,7,37,77,11,0,2,1,448,14,51,6,6,4.2491803279,Grant Roberts,0,0
roberje02,0,16,12,51,32,0,0,0,553,215,117,32,78,111,13,4,8,2,832,3,128,13,9,5.712477396,Jeriome Robertson,0,0
roberna01,0,57,77,223,187,4,0,1,3457,1279,642,160,420,775,21,34,34,4,5064,8,696,39,36,5.0141741394,Nate Robertson,0,0
roberri01,0,13,14,86,40,8,1,2,907,333,166,31,153,184,7,26,4,2,1379,17,195,,,4.9415656009,Rich Robertson,0,0
roberri02,0,17,30,114,61,6,3,0,1246,460,249,50,233,237,13,17,15,1,1898,14,275,,,5.3956661316,Rich Robertson,0,0
roberro01,0,286,245,676,609,305,45,25,14066,4582,1774,505,902,2357,69,33,54,3,19174,49,1962,,,3.4052324755,Robin Roberts,0,0
roberwi01,0,17,15,148,18,1,0,7,779,277,134,27,112,179,6,13,25,2,1165,54,146,7,10,4.6444159178,Willis Roberts,0,0
robindo01,0,109,106,524,229,34,6,57,5875,1894,824,175,643,1251,89,74,27,15,8254,185,907,,,3.786893617,Don Robinson,0,0
robinha01,0,42,37,150,73,32,3,2,2104,646,197,6,159,238,,5,32,2,2832,58,269,,,2.5280418251,Hank Robinson,0,0
robinhu01,0,8,13,102,7,2,0,4,639,189,77,17,90,114,16,5,6,3,901,47,92,,,3.2535211268,Humberto Robinson,0,0
robinje01,0,46,57,454,62,2,1,39,2704,880,380,75,349,629,53,69,18,7,3849,155,433,,,3.7943786982,Jeff Robinson,0,0
robinje02,0,47,40,141,117,10,5,0,2126,672,377,88,347,425,21,47,24,6,3095,4,405,,,4.7878645343,Jeff Robinson,0,0
robinro01,0,48,39,232,102,8,2,19,2400,819,323,61,253,473,30,16,17,2,3400,57,376,,,3.63375,Ron Robinson,0,0
robleha01,0,4,3,57,0,0,0,0,162,37,22,8,18,61,1,2,2,1,217,7,27,1,1,3.6666666667,Hansel Robles,0,0
rockejo01,0,13,22,280,0,0,0,88,766,200,97,23,164,332,17,29,12,4,1130,176,115,6,5,3.4190600522,John Rocker,1,0
rodnefe01,0,37,55,700,0,0,0,236,2101,612,289,53,341,685,30,41,42,2,3055,440,319,32,15,3.7139457401,Fernando Rodney,0,0
rodried01,0,42,36,264,39,7,1,32,2202,681,317,65,323,430,40,24,23,2,3165,126,348,,,3.8869209809,Eduardo Rodriguez,0,0
rodrife01,0,38,26,563,1,0,0,11,1759,526,242,50,283,512,19,32,32,7,2544,167,256,14,14,3.7146105742,Felix Rodriguez,0,0
rodrife02,0,9,15,182,0,0,0,0,573,167,93,21,92,205,13,17,5,0,821,35,100,8,3,4.3821989529,Fernando Rodriguez,0,0
rodrifr02,0,29,39,184,82,3,0,5,1962,737,402,76,282,371,17,29,21,1,2914,31,444,1,4,5.5321100917,Frankie Rodriguez,0,0
rodrifr03,0,47,44,859,0,0,0,386,2677,662,267,83,357,1067,40,62,15,2,3658,602,289,24,19,2.6929398581,Francisco Rodriguez,0,0
rodrifr04,0,1,3,53,0,0,0,0,183,59,30,7,31,43,3,8,1,1,268,18,30,1,0,4.4262295082,Francisco Rodriguez,0,0
rodrihe03,0,5,7,150,0,0,0,11,451,124,72,9,107,151,2,36,7,3,687,60,82,5,4,4.310421286,Henry Rodriguez,0,0
rodriri02,0,31,22,609,2,0,0,8,1922,642,271,62,261,396,46,20,12,5,2750,146,304,3,7,3.8069719043,Rich Rodriguez,0,0
rodriro01,0,4,3,57,5,0,0,7,337,128,60,13,37,91,3,5,1,0,494,19,71,,,4.8071216617,Roberto Rodriguez,0,0
rodrist02,0,4,5,124,0,0,0,2,256,55,24,6,30,91,5,3,2,0,329,18,25,4,2,2.53125,Paco Rodriguez,0,0
rodriwa01,0,97,98,275,263,2,2,0,4672,1560,710,185,534,1281,37,38,53,9,6671,3,796,49,40,4.1031678082,Wandy Rodriguez,0,0
roebued01,0,52,31,460,1,0,0,62,2373,753,294,90,302,477,51,40,28,5,3375,206,374,,,3.3451327434,Ed Roebuck,0,0
roech01,0,5,2,60,0,0,0,0,197,65,31,7,33,66,5,2,1,0,285,12,32,3,3,4.2487309645,Chaz Roe,0,0
roenijo01,0,8,3,190,0,0,0,2,661,218,102,19,117,168,10,19,8,0,980,40,115,7,9,4.1664145234,Josh Roenicke,0,0
roepr01,0,127,84,333,261,101,17,10,5743,1907,730,199,504,956,,15,17,1,7904,42,799,,,3.432004179,Preacher Roe,0,0
rogeres01,0,19,22,210,43,0,0,0,1362,533,282,60,180,386,13,34,26,6,2054,46,303,11,16,5.59030837,Esmil Rogers,0,0
rogerke01,0,219,156,762,474,36,9,28,9908,3457,1568,339,1175,1968,53,79,127,23,14280,133,1739,36,44,4.2729107792,Kenny Rogers,0,0
rogerke02,0,2,4,79,6,0,0,0,375,118,44,8,47,95,6,5,5,0,528,26,49,,,3.168,Kevin Rogers,0,0
rogerst01,0,158,152,399,393,129,37,2,8513,2619,1001,151,876,1621,75,87,43,8,11702,3,1122,,,3.1747914954,Steve Rogers,0,0
rogerto01,0,15,30,83,42,21,1,3,1244,431,182,15,162,94,,5,10,1,1730,30,221,,,3.9501607717,Tom Rogers,0,0
roggega01,0,6,9,79,6,1,0,7,378,132,51,15,64,56,5,6,7,0,571,28,67,,,3.6428571429,Garry Roggenburk,0,0
rogovsa01,0,48,48,150,121,43,9,2,2651,888,399,83,308,388,7,14,10,4,3764,14,435,,,4.0637495285,Saul Rogovin,0,0
rojasme01,0,34,31,525,0,0,0,126,2001,591,283,65,254,562,31,30,37,0,2830,282,305,,,3.8185907046,Mel Rojas,0,0
rojasmi01,0,23,16,157,2,0,0,43,783,244,87,27,68,153,23,11,4,1,1086,95,102,,,3,Minnie Rojas,0,0
rolanji01,0,19,17,216,29,6,1,9,1351,357,161,34,229,272,22,29,19,3,1927,64,185,,,3.2176165803,Jim Roland,0,0
romanro01,0,31,29,82,82,15,4,0,1593,574,250,65,167,189,4,9,8,3,2274,0,276,,,4.2372881356,Ron Romanick,0,0
romerjc01,0,34,28,680,22,0,0,7,1984,624,306,59,375,526,47,35,40,6,2943,128,335,30,13,4.1643145161,J. C. Romero,0,1
romerri01,0,51,45,129,127,8,3,0,2404,766,370,82,354,622,6,42,43,3,3439,1,402,25,11,4.1555740433,Ricky Romero,0,0
