playerID,HOF,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,ERA,Name
delucri01,0,38,51,320,49,1,0,7,1872,590,320,91,299,502,25.0,39.0,17.0,1,2718.0,80.0,347,,,4.6153846154,Rich DeLucia
demaral01,0,80,72,232,173,84,15,9,4272,1350,439,34,337,514,,15.0,30.0,2,5799.0,42.0,556,,,2.7745786517,Al Demaree
demelsa01,0,4,4,72,0,0,0,2,191,75,35,9,26,48,4.0,5.0,3.0,0,288.0,18.0,41,1.0,1.0,4.9476439791,Sam Demel
demerla01,0,29,23,139,46,7,1,7,1336,413,184,40,199,217,22.0,11.0,5.0,2,1901.0,38.0,202,,,3.7185628743,Larry Demery
demoldo01,0,5,7,85,1,0,0,1,466,138,65,15,63,110,5.0,1.0,4.0,0,656.0,39.0,68,,,3.7660944206,Don DeMola
dempsry01,0,132,133,579,351,11,3,87,7161,2347,1154,267,1071,2075,47.0,80.0,91.0,3,10412.0,186.0,1250,92.0,52.0,4.3510682866,Ryan Dempster
dennido01,0,6,5,79,1,0,0,8,344,120,47,11,33,54,21.0,2.0,2.0,0,486.0,27.0,53,,,3.6889534883999997,Don Dennis
dennyjo01,0,123,108,325,322,62,18,0,6446,2093,856,137,778,1146,49.0,68.0,54.0,12,9077.0,0.0,967,,,3.585479367,John Denny
derbyge01,0,48,56,110,107,105,12,1,2893,1064,322,14,182,428,,35.0,,0,4224.0,3.0,639,,,3.0051849291000003,George Derby
derripa01,0,223,212,579,445,251,32,29,10935,3912,1401,158,761,1507,,50.0,32.0,2,15391.0,98.0,1652,,,3.4592592593,Paul Derringer
deshaji01,0,84,95,257,253,15,6,0,4575,1434,702,179,575,951,39.0,19.0,27.0,35,6432.0,1.0,743,,,4.1429508197,Jim Deshaies
deshoji01,0,47,44,175,100,44,2,9,2618,968,493,59,432,273,,18.0,12.0,2,3944.0,43.0,560,,,5.0844155844,Jimmie DeShong
despaod01,0,9,16,50,34,0,0,0,666,227,117,23,64,134,3.0,7.0,14.0,0,951.0,5.0,126,16.0,4.0,4.7432432432,Odrisamer Despaigne
desseel01,0,52,64,441,140,2,1,5,3523,1300,579,145,348,693,45.0,22.0,24.0,4,5062.0,64.0,628,52.0,31.0,4.437411297200001,Elmer Dessens
